**Name**,**Symbol**,**Syntax**,**Description**
Element of,in,"op in collection

collection ::= set | valueDomainName",Verifies if a value belongs to a set of values
Element of,not_in,"op not_in collection

collection ::= set | valueDomainName",Verifies if a value does not belong to a set of values
Match_characters,match_characters,"match_characters (op, pattern)",Verifies if a value respects or not a pattern
Isnull,isnull,isnull ( op ),Verifies if a value is NULL
Exists in,exists_in,"exists_in ( op1, op2, retain)

retain ::= { true | false | all }","As for the common identifiers of op1 and op2, verifies if the combinations of values of op1 exist in op2."
Logical conjunction,and,op1 and op2,Calculates the logical AND
Logical disjunction,or,op1 or op2,Calculates the logical OR
Exclusive disjunction,xor,op1 xor op2,Calculates the logical XOR
Logical negation,not,not op,Calculates the logical NOT
Period indicator,period_indicator,period_indicator ( {op} ),Extracts the period indicator from a time_period value
Fill time series,fill_time_series,"fill_time_series ( op {, limitsMethod } )

limitsMethod ::= single | all",Replaces each missing data point in the input Data Set
Flow to stock,flow_to_stock,flow_to_stock ( op ),Transforms from a flow interpretation of a Data Set to stock
Stock to flow,stock_to_flow,stock_to_flow ( op ),Transforms from stock to flow interpretation of a Data Set
Time shift,timeshift,"timeshift ( op, shiftNumber )",Shifts the time component of a specified range of time
Time aggregation,time_agg,"time_agg ( periodIndTo {, periodIndFrom } {,op }{, first | last })",Converts the time values from higher to lower frequency values
Actual time,current_date,current_date ( ),Returns the current date
Union,union,"union ( dsList )

dsList ::= ds {, ds }\*",Computes the union of N datasets
Intersection,intersect,"intersect ( dsList )

dsList ::= ds {, ds }\*",Computes the intersection of N datasets
Set difference,setdiff,"setdiff ( ds1, ds2 )",Computes the differences of two datasets
Symmetric difference,symdiff,"symdiff ( ds1, ds2 )",Computes the symmetric difference of two datasets
Hierarchical roll-up,hierarchy,"hierarchy ( op, hr { condition condComp {, condComp }\* }
{ rule ruleComp } { mode } { input } { output } )

condComp ::= component {, component }\*

mode ::= non_null | non_zero | partial_null | partial_zero |
always_null | always_zero

input ::= dataset | rule | rule_priority

output ::= computed | all",Aggregates data using a hierarchical ruleset
Aggregate invocation,,"in a Data Set expression:

aggregateOperator
( firstOperand {, additionalOperand }\* { groupingClause } )

in a Component expression within an aggr clause:

aggregateOperator
( firstOperand {, additionalOperand }\* ) { groupingClause }
aggregateOperator ::= avg | count | max | median | min |
stddev_pop| stddev_samp | sum |
var_pop | var_samp

groupingClause ::=
{ group by groupingId {, groupingId}\*
| group except groupingId {, groupingId}\*
| group all conversionExpr } :sup:`1`
{ having havingCondition }",Set of statistical functions used to aggregate data
Analytic invocation,,"analyticOperator
( firstOperand {, additionalOperand }\* over ( analyticClause ) )

analyticOperator ::= avg | count | max | median | min |
stddev_pop| stddev_samp | sum | var_pop
| var_samp | first_value | lag | last_value |
lead | rank | ratio_to_report

analyticClause ::=
{ partitionClause } { orderClause } { windowClause }

partitionClause ::= partition by identifier {, identifier }\*

orderClause ::= order by component { asc | desc }
{, component { asc | desc } }\*

windowClause ::=
{ data points | range } :sup:`1` between limitClause and limitClause

limitClause ::=
{ num preceding | num following | current data point
| unbounded preceding | unbounded following } :sup:`1`",Set of statistical functions used to aggregate data
Check datapoint,check_datapoint,"check_datapoint
( op, dpr { components listComp } { output output } )

listComp ::= comp {, comp }\*

output ::= invalid | all | all_measures",Applies one datapoint ruleset on a Data Set
Check hierarchy,check_hierarchy,"check_hierarchy (
op, hr { condition condComp {, condComp }\* }
{ rule ruleComp }
{ mode } { input } { output } )

mode ::= non_null | non_zero | partial_null | partial_zero | always_null | always_zero

input ::= dataset | dataset_priority

output ::= invalid | all | all_measures",Applies a hierarchical ruleset to a Data Set
Check,check,"check ( op { errorcode errorcode } { errorlevel errorlevel }
{ imbalance imbalance } { output } )

output ::= invalid | all",Checks if an expression verifies a condition
If then else,if… then… else…,if condition then thenOperand else elseOperand,Makes alternative calculations according to a condition
Nvl,nvl,"nvl ( op1, op2 )",Replaces the null value with a value.
Filtering Data Points,filter,op [ filter condition ],Filter data using a Boolean condition
Calculation of a Component,calc,"op [ calc { calcRole } calcComp := calcExpr {, { calcRole } calcComp := calcExpr }\* ]",Calculates the values of a Structure Component
Aggregation,aggr,"op [ aggr aggrClause { groupingClause } ]

aggrClause ::= { aggrRole } aggrComp := aggrExpr
{, { aggrRole } aggrComp:= aggrExpr }\*

groupingClause ::= { group by groupingId {, groupingId }\*
| group except groupingId {, groupingId }\*
| group all conversionExpr } :sup:`1`
{ having havingCondition }

aggrRole::= measure | attribute | viral attribute",Aggregates using an aggregate operator
Maintaining Components,keep,"op [ keep comp {, comp }\* ]",Keep list of components
Removal of Components,drop,"op [drop comp {, comp }\* ]",Drop list of components
Change of Component name,rename,"op [ rename comp_from to comp_to {,comp_from to comp_to }\* ]",Rename components
Pivoting,pivot,"op [ pivot identifier, measure ]",Transform identifier values to measures
Unpivoting,unpivot,"op [ unpivot identifier, measure ]",Transform measures to identifier values
Subspace,sub,"op [ sub identifier = value {, identifier = value }\* ]",Remove the specified identifiers by fixing a value for them
